Crossing,Adopted Flow (m^3/s),Barrels,Diameter (m),Barrel Shape,Barrel Material,Inlet Type,Inlet Edge Type,Span (m),Rise (m),Barrel Length (m),Inlet Invert Elev (m),Outlet Invert Elev (m),Roadway Width (m),Roadway Elevation (m),Tailwater Elevation (m),Status,Error Message,Computed Flow (m^3/s),Headwater Elevation (m),HW:D ratio,Outlet Velocity (m/s),Flow Type,Overtopping,q_from_hw (m^3/s),Flow Error (m^3/s),hw_from_q Workspace,q_from_hw Workspace
4a-26100,6.56,2,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,6.5600,1.8100,1.1067,2.8100,7-M2c,No,6.5600,0.0000,C:\Temp\hy8\4a-26100,C:\Temp\hy8\4a-26100
4a-27000,18.4,3,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,18.4000,2.0300,0.7833,2.9300,2-M2c,No,18.4000,0.0000,C:\Temp\hy8\4a-27000,C:\Temp\hy8\4a-27000
4a-27600,43.2423,6,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,43.2400,2.2200,0.8625,3.0900,2-M2c,No,43.2423,0.0000,C:\Temp\hy8\4a-27600,C:\Temp\hy8\4a-27600
4a-29500,24.6482,4,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,24.6500,2.0400,0.7875,2.9300,2-M2c,No,24.6482,0.0000,C:\Temp\hy8\4a-29500,C:\Temp\hy8\4a-29500
4a-30700,9.78,2,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,9.7800,1.8000,0.6875,2.7300,2-M2c,No,9.7800,0.0000,C:\Temp\hy8\4a-30700,C:\Temp\hy8\4a-30700
4a-32100,19.6204189,3,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,19.6200,2.1000,0.8125,2.9900,2-M2c,No,19.6204,0.0000,C:\Temp\hy8\4a-32100,C:\Temp\hy8\4a-32100
4a-33100,6.013122374,2,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,6.0100,1.7200,1.0467,2.7200,7-M2c,No,6.0131,0.0000,C:\Temp\hy8\4a-33100,C:\Temp\hy8\4a-33100
4a-34500,17.4978,3,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,17.5000,1.9800,0.7625,2.8800,2-M2c,No,17.4978,0.0000,C:\Temp\hy8\4a-34500,C:\Temp\hy8\4a-34500
4b-10600,8.97,4,1.2,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.2000,1.2000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,8.9700,1.7000,1.2917,2.7000,7-M2c,No,8.9700,0.0000,C:\Temp\hy8\4b-10600,C:\Temp\hy8\4b-10600
4b-12300,8.6565,2,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,8.6600,2.2200,1.3800,3.1600,7-M2c,No,8.6565,0.0000,C:\Temp\hy8\4b-12300,C:\Temp\hy8\4b-12300
4b-13100,6.91,2,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,6.9100,1.8700,1.1467,2.8700,7-M2c,No,6.9100,0.0000,C:\Temp\hy8\4b-13100,C:\Temp\hy8\4b-13100
4b-5200,43.7,6,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,43.7000,2.2300,0.8667,3.1000,2-M2c,No,43.7000,0.0000,C:\Temp\hy8\4b-5200,C:\Temp\hy8\4b-5200
4b-6500,26.9,4,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,26.9000,2.1300,0.8250,3.0200,2-M2c,No,26.9000,0.0000,C:\Temp\hy8\4b-6500,C:\Temp\hy8\4b-6500
4b-7700,28.1,4,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,28.1000,2.1900,0.8500,3.0600,2-M2c,No,28.1000,0.0000,C:\Temp\hy8\4b-7700,C:\Temp\hy8\4b-7700
4b-8100,12.3,2,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,12.3000,2.0300,0.7833,2.9300,2-M2c,No,12.3000,0.0000,C:\Temp\hy8\4b-8100,C:\Temp\hy8\4b-8100
4b-9900,57.3194,8,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,57.3200,2.2100,0.8583,3.0800,2-M2c,No,57.3194,0.0000,C:\Temp\hy8\4b-9900,C:\Temp\hy8\4b-9900
